Data;Índice de Variação de Aluguéis Residenciais (IVAR) - Média Nacional (1463201);Índice de Variação de Aluguéis Residenciais (IVAR) - São Paulo(1463202);Índice de Variação de Aluguéis Residenciais (IVAR) - Rio de Janeiro (1463203);Índice de Variação de Aluguéis Residenciais (IVAR) - Belo Horizonte(1463204);Índice de Variação de Aluguéis Residenciais (IVAR) - Porto Alegre(1463205);Sondagem da Construção – Nível de Utilização da Capacidade Instalada(1428409);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);IE-CST Com ajuste Sazonal - Índice de Expectativas da Construção (CNAE 2.0)(1416233);ISA-CST Com ajuste Sazonal - Índice da Situação Atual da Construção (CNAE 2.0)(1416234);INCC-Brasil-DI-Todos os itens(1464783);INCC-Brasil-M-Todos os itens(1465235);INCC-Brasil-10-Todos os itens(1464331);INCC-M - 1º Decêndio (%)(1000379);INCC-M - 2º Decêndio (%)(1000366);INCC-M - Fechamento mensal (%)(1000370)
07/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;149.095;149.224;147.979; - ; - ;1.52
08/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;149.445;150.334;149.044; - ; - ;0.74
09/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;149.772;150.564;149.305; - ; - ;0.15
10/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;150.157;150.915;149.580; - ; - ;0.23
11/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;151.035;151.345;149.978; - ; - ;0.29
12/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;151.922;152.079;150.738; - ; - ;0.49
01/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;152.408;153.107;151.771; - ; - ;0.68
02/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;153.147;153.588;152.314; - ; - ;0.31
03/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;154.260;154.228;152.975; - ; - ;0.42
04/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;154.616;155.358;154.014; - ; - ;0.73
05/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;155.953;155.823;154.490; - ; - ;0.30
06/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;157.687;157.373;156.016; - ; - ;1.00
07/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;158.485;158.855;157.515; - ; - ;0.94
08/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;160.352;159.724;158.361; - ; - ;0.55
09/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;160.780;161.604;160.317; - ; - ;1.18
10/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;161.024;161.953;160.710; - ; - ;0.22
11/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;161.897;162.317;161.012; - ; - ;0.22
12/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;162.271;163.165;161.889; - ; - ;0.52
01/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;162.805;163.644;162.343; - ; - ;0.29
02/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;163.593;164.428;162.813; - ; - ;0.48
03/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;164.361;164.935;163.656; - ; - ;0.31
04/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;163.535;164.169;162.885; - ; - ;-0.46
05/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;165.133;164.933;163.607; - ; - ;0.47
06/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;165.781;166.356;165.165; - ; - ;0.86
07/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166.345;167.063;165.836; - ; - ;0.42
08/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166.705;167.554;166.359; - ; - ;0.29
09/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166.729;167.698;166.551; - ; - ;0.09
10/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166.738;167.780;166.644; - ; - ;0.05
11/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166.657;167.662;166.556; - ; - ;-0.07
12/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166.733;167.652;166.537; - ; - ;-0.01
01/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;167.648;168.008;166.746; - ; - ;0.21
02/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;169.288;169.054;167.580; - ; - ;0.62
03/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;170.221;170.587;169.280; - ; - ;0.91
04/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;171.100;171.584;170.354; - ; - ;0.58
05/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;172.578;172.233;171.051; - ; - ;0.38
06/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;173.279;173.750;172.570; - ; - ;0.88
07/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;174.074;174.466;173.140; - ; - ;0.41
08/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;175.280;175.370;174.037; - ; - ;0.52
